"Series Description","VENEZUELA -- SPOT EXCHANGE RATE, BOLIVARES/US$ "
"Unit:","Currency:_Per_USD"
"Multiplier:","1"
"Currency:","VEB"
"Unique Identifier: ","H10/H10/RXI_N.M.VE"
"Time Period","RXI_N.M.VE"
2001-01,0.7000
2001-02,0.7034
2001-03,0.7061
2001-04,0.7104
2001-05,0.7149
2001-06,0.7173
2001-07,0.7227
2001-08,0.7320
2001-09,0.7435
2001-10,0.7432
2001-11,0.7451
2001-12,0.7536
2002-01,0.7624
2002-02,0.8985
2002-03,0.9227
2002-04,0.8714
2002-05,0.9858
2002-06,1.2121
2002-07,1.3174
2002-08,1.3797
2002-09,1.4584
2002-10,1.4405
2002-11,1.3586
2002-12,1.3283
2003-01,1.7145
2003-02,1.6511
2003-03,1.6000
2003-04,1.6000
2003-05,1.6000
2003-06,1.6000
2003-07,1.6000
2003-08,1.6000
2003-09,1.6000
2003-10,1.6000
2003-11,1.6000
2003-12,1.5999
2004-01,1.6000
2004-02,1.8189
2004-03,1.9200
2004-04,1.9200
2004-05,1.9198
2004-06,1.9200
2004-07,1.9200
2004-08,1.9200
2004-09,1.9200
2004-10,1.9181
2004-11,1.9152
2004-12,1.9152
2005-01,1.9152
2005-02,1.9152
2005-03,2.1247
2005-04,2.1446
2005-05,2.1446
2005-06,2.1446
2005-07,2.1446
2005-08,2.1446
2005-09,2.1446
2005-10,2.1446
2005-11,2.1447
2005-12,2.1446
2006-01,2.1446
2006-02,2.1446
2006-03,2.1446
2006-04,2.1446
2006-05,2.1445
2006-06,2.1446
2006-07,2.1446
2006-08,2.1446
2006-09,2.1446
2006-10,2.1446
2006-11,2.1446
2006-12,2.1446
2007-01,2.1446
2007-02,2.1446
2007-03,2.1446
2007-04,2.1446
2007-05,2.1446
2007-06,2.1446
2007-07,2.1446
2007-08,2.1446
2007-09,2.1446
2007-10,2.1446
2007-11,2.1446
2007-12,2.1446
2008-01,2.1446
2008-02,2.1446
2008-03,2.1446
2008-04,2.1446
2008-05,2.1446
2008-06,2.1446
2008-07,2.1446
2008-08,2.1446
2008-09,2.1446
2008-10,2.1446
2008-11,2.1446
2008-12,2.1446
2009-01,2.1446
2009-02,2.1446
2009-03,2.1446
2009-04,2.1446
2009-05,2.1446
2009-06,2.1446
2009-07,2.1446
2009-08,2.1446
2009-09,2.1446
2009-10,2.1446
2009-11,2.1430
2009-12,2.1446
2010-01,3.6137
2010-02,4.2893
2010-03,4.2893
2010-04,4.2893
2010-05,4.2893
2010-06,4.2893
2010-07,4.2896
2010-08,4.2897
2010-09,4.2893
2010-10,4.2893
2010-11,4.2893
2010-12,4.2893
2011-01,4.2898
2011-02,4.2893
2011-03,4.2893
2011-04,4.2893
2011-05,4.2893
2011-06,4.2893
2011-07,4.2893
2011-08,4.2893
2011-09,4.2893
2011-10,4.2893
2011-11,4.2893
2011-12,4.2893
2012-01,4.2893
2012-02,4.2896
2012-03,4.2895
2012-04,4.2893
2012-05,4.2893
2012-06,4.2893
2012-07,4.2893
2012-08,4.2893
2012-09,4.2893
2012-10,4.2893
2012-11,4.2893
2012-12,4.2893
2013-01,4.2893
2013-02,5.6554
2013-03,6.2842
2013-04,6.2842
2013-05,6.2842
2013-06,6.2842
2013-07,6.2842
2013-08,6.2842
2013-09,6.2842
2013-10,6.2842
2013-11,6.2842
2013-12,6.2842
2014-01,6.2842
2014-02,6.2842
2014-03,6.2842
2014-04,6.2842
2014-05,6.2842
2014-06,6.2842
2014-07,6.2842
2014-08,6.2842
2014-09,6.2842
2014-10,6.2842
2014-11,6.2842
2014-12,6.2842
2015-01,6.2842
2015-02,6.2842
2015-03,6.2842
2015-04,6.2842
2015-05,6.2842
2015-06,6.2842
2015-07,6.2842
2015-08,6.2842
2015-09,6.2842
2015-10,6.2842
2015-11,6.2842
2015-12,6.2842
2016-01,6.2842
2016-02,6.2842
2016-03,8.6912
2016-04,9.9750
2016-05,9.9750
2016-06,9.9750
2016-07,9.9750
2016-08,9.9750
2016-09,9.9750
2016-10,9.9750
2016-11,9.9756
2016-12,9.9750
2017-01,9.9750
2017-02,9.9750
2017-03,9.9750
2017-04,9.9750
2017-05,9.9750
2017-06,9.9750
2017-07,9.9750
2017-08,9.9750
2017-09,9.9750
2017-10,9.9750
2017-11,9.9750
2017-12,9.9750
2018-01,42.9671
2018-02,21089.7750
2018-03,41273.2619
2018-04,56813.5622
2018-05,72987.5284
2018-06,83600.0000
2018-07,129228.5000
2018-08,2495016.1501
2018-09,61.4953
2018-10,63.1191
2018-11,71.2345
2018-12,349.3944
2019-01,1358.1886
2019-02,3289.7297